_id,poll_id,pollster,numeric_grade,pollscore,start_date,end_date,sample_size,politician,yes,no,alternate_answers,methodology,transparency_score
6756687d8259a38e9455aa1a,89400,Morning Consult,1.9,-0.3,11/8/24,11/11/24,3475,Joe Biden,42,53,3,Online Opt-In Panel,3
6756687d8259a38e9455aa1b,89405,Navigator,1.3,0.3,10/31/24,11/9/24,5000,Joe Biden,38,60,0,Online Opt-In Panel,4.5
6756687d8259a38e9455aa1c,89394,YouGov,3,-1.1,11/6/24,11/7/24,1590,Joe Biden,41,57,2,Online Matched Sample,9
6756687d8259a38e9455aa1d,89401,McLaughlin,0.5,1.6,11/4/24,11/6/24,1000,Joe Biden,46,53,1,,4
6756687d8259a38e9455aa1e,89372,AtlasIntel,2.7,-0.8,11/3/24,11/4/24,2703,Joe Biden,41.6,54.6,3.9,Online Ad,6
6756687d8259a38e9455aa1f,89407,Morning Consult,1.9,-0.3,10/29/24,11/4/24,45000,Joe Biden,38.32,54.78,6.9,Online Opt-In Panel,3
6756687d8259a38e9455aa20,89348,Research Co.,2.4,-0.5,11/2/24,11/3/24,1003,Joe Biden,45,53,2,Online Opt-In Panel,6
6756687d8259a38e9455aa21,89367,Ipsos,2.8,-0.9,11/1/24,11/3/24,1242,Joe Biden,37,57,0,Probability Panel,9.5
6756687d8259a38e9455aa22,89423,Lord Ashcroft Polls,,,10/16/24,11/3/24,20528,Joe Biden,39,56,5,Online Opt-In Panel,
6756687d8259a38e9455aa23,89423,Lord Ashcroft Polls,,,10/16/24,11/3/24,16563,Joe Biden,42,56,2,Online Opt-In Panel,
6756687d8259a38e9455aa24,89243,AtlasIntel,2.7,-0.8,11/1/24,11/2/24,2463,Joe Biden,39.5,55.5,5,Online Ad,6
6756687d8259a38e9455aa25,89350,Marist,2.9,-0.9,10/31/24,11/2/24,1297,Joe Biden,43,54,3,Live Phone/Online Opt-In Panel/Text-to-Web,9
6756687d8259a38e9455aa26,89350,Marist,2.9,-0.9,10/31/24,11/2/24,1560,Joe Biden,40,55,5,Live Phone/Online Opt-In Panel/Text-to-Web,9
6756687d8259a38e9455aa27,89350,Marist,2.9,-0.9,10/31/24,11/2/24,1446,Joe Biden,41,55,4,Live Phone/Online Opt-In Panel/Text-to-Web,9
6756687d8259a38e9455aa28,89251,Emerson,2.9,-1.1,10/30/24,11/2/24,1000,Joe Biden,40.1,52.5,7.5,IVR/Online Opt-In Panel/Text-to-Web,7
6756687d8259a38e9455aa29,89252,Hart/POS,2.6,-0.7,10/30/24,11/2/24,1000,Joe Biden,41,58,1,Live Phone,4
6756687d8259a38e9455aa2a,89366,HarrisX,1.5,-0.1,10/30/24,11/2/24,4520,Joe Biden,38,57,5,Online Opt-In Panel,6
6756687d8259a38e9455aa2b,89366,HarrisX,1.5,-0.1,10/30/24,11/2/24,3759,Joe Biden,41,57,2,Online Opt-In Panel,6
6756687d8259a38e9455aa2c,89141,AtlasIntel,2.7,-0.8,10/30/24,10/31/24,3490,Joe Biden,40.4,54.7,4.8,Online Ad,6
6756687d8259a38e9455aa2d,89288,YouGov,3,-1.1,10/29/24,10/31/24,1710,Joe Biden,40,56,4,Online Matched Sample,9
6756687d8259a38e9455aa2e,89288,YouGov,3,-1.1,10/29/24,10/31/24,1267,Joe Biden,42,57,1,Online Matched Sample,9
6756687d8259a38e9455aa2f,89288,YouGov,3,-1.1,10/29/24,10/31/24,1152,Joe Biden,43,56,1,Online Matched Sample,9
6756687d8259a38e9455aa30,89195,Echelon Insights,2.7,-0.8,10/28/24,10/31/24,1328,Joe Biden,40,59,1,Online Opt-In Panel,9
6756687d8259a38e9455aa31,89155,HarrisX,1.5,-0.1,10/27/24,10/29/24,4523,Joe Biden,37,59,4,Online Opt-In Panel,6
6756687d8259a38e9455aa32,89155,HarrisX,1.5,-0.1,10/27/24,10/29/24,3718,Joe Biden,40,58,2,Online Opt-In Panel,6
6756687d8259a38e9455aa33,89196,Big Data Poll,1.1,0.2,10/27/24,10/29/24,2814,Joe Biden,43.5,54.1,2.4,,7
6756687d8259a38e9455aa34,89196,Big Data Poll,1.1,0.2,10/27/24,10/29/24,2992,Joe Biden,42.5,53.6,3.9,,7
6756687d8259a38e9455aa35,89088,YouGov,3,-1.1,10/26/24,10/29/24,1587,Joe Biden,40,55,6,Online Matched Sample,9
6756687d8259a38e9455aa36,89088,YouGov,3,-1.1,10/26/24,10/29/24,1446,Joe Biden,44,55,2,Online Matched Sample,9
6756687d8259a38e9455aa37,89088,YouGov,3,-1.1,10/26/24,10/29/24,1312,Joe Biden,44,54,1,Online Matched Sample,9
6756687d8259a38e9455aa38,89056,AtlasIntel,2.7,-0.8,10/25/24,10/29/24,3032,Joe Biden,40.9,54.1,5,Online Ad,6
6756687d8259a38e9455aa39,89183,HarrisX,1.5,-0.1,10/25/24,10/28/24,1717,Joe Biden,38,58,4,Online Opt-In Panel,6
6756687d8259a38e9455aa3a,89183,HarrisX,1.5,-0.1,10/25/24,10/28/24,1475,Joe Biden,40,58,2,Online Opt-In Panel,6
6756687d8259a38e9455aa3b,89344,Navigator,1.3,0.3,10/24/24,10/28/24,1000,Joe Biden,40,56,4,Online Opt-In Panel,4.5
6756687d8259a38e9455aa3c,89009,Morning Consult,1.9,-0.3,10/25/24,10/27/24,2205,Joe Biden,47,53,2,Online Opt-In Panel,3
6756687d8259a38e9455aa3d,89028,Ipsos,2.8,-0.9,10/25/24,10/27/24,1150,Joe Biden,35,60,5,Probability Panel,9.5
6756687d8259a38e9455aa3e,89108,Gallup,2.5,-0.4,10/14/24,10/27/24,1007,Joe Biden,41,56,3,Live Phone,10
6756687d8259a38e9455aa3f,88956,Emerson,2.9,-1.1,10/23/24,10/24/24,1000,Joe Biden,40.8,53.2,6,IVR/Online Opt-In Panel/Text-to-Web,7
6756687d8259a38e9455aa40,88930,Siena/NYT,3,-1.5,10/20/24,10/23/24,2097,Joe Biden,38,58,4,Live Phone,9
6756687d8259a38e9455aa41,88930,Siena/NYT,3,-1.5,10/20/24,10/23/24,2097,Joe Biden,40,57,4,Live Phone,9
6756687d8259a38e9455aa42,88951,CNN/SSRS,2.8,-0.6,10/20/24,10/23/24,1704,Joe Biden,36,64,0,Probability Panel,10
6756687d8259a38e9455aa43,88923,Big Village,1.2,1.7,10/18/24,10/23/24,2026,Joe Biden,39.6,53.1,7.3,Online Opt-In Panel,9
6756687d8259a38e9455aa44,88923,Big Village,1.2,1.7,10/18/24,10/23/24,1739,Joe Biden,41.9,53.6,4.4,Online Opt-In Panel,9
6756687d8259a38e9455aa45,88923,Big Village,1.2,1.7,10/18/24,10/23/24,1592,Joe Biden,44,53.3,2.7,Online Opt-In Panel,9
6756687d8259a38e9455aa46,88991,Clarity,1.6,-0.2,10/17/24,10/23/24,1314,Joe Biden,41,52,7,Online Opt-In Panel/Text-to-Web,1
6756687d8259a38e9455aa47,88889,HarrisX,1.5,-0.1,10/21/24,10/22/24,1512,Joe Biden,39,58,3,Online Opt-In Panel,6
6756687d8259a38e9455aa48,88889,HarrisX,1.5,-0.1,10/21/24,10/22/24,1244,Joe Biden,42,57,1,Online Opt-In Panel,6
6756687d8259a38e9455aa49,88872,YouGov,3,-1.1,10/19/24,10/22/24,1615,Joe Biden,38,57,5,Online Matched Sample,9
6756687d8259a38e9455aa4a,88872,YouGov,3,-1.1,10/19/24,10/22/24,1422,Joe Biden,42,56,2,Online Matched Sample,9
6756687d8259a38e9455aa4b,88872,YouGov,3,-1.1,10/19/24,10/22/24,1295,Joe Biden,43,56,1,Online Matched Sample,9
6756687d8259a38e9455aa4c,88917,Fabrizio/GBAO,,,10/19/24,10/22/24,1500,Joe Biden,41,57,2,,6
6756687d8259a38e9455aa4d,88964,Ipsos,2.8,-0.9,10/18/24,10/22/24,2808,Joe Biden,36,57,7,Probability Panel,9.5
6756687d8259a38e9455aa4e,88964,Ipsos,2.8,-0.9,10/18/24,10/22/24,2392,Joe Biden,39,58,3,Probability Panel,9.5
6756687d8259a38e9455aa4f,89105,Paradigm,,,10/17/24,10/22/24,1000,Joe Biden,41,59,0,Online Opt-In Panel,3.5
6756687d8259a38e9455aa50,88840,Morning Consult,1.9,-0.3,10/18/24,10/20/24,2143,Joe Biden,46,53,1,Online Opt-In Panel,3
6756687d8259a38e9455aa51,88824,ARG,2.3,-0.2,10/17/24,10/20/24,1100,Joe Biden,44,50,6,Live Phone,5
6756687d8259a38e9455aa52,88824,ARG,2.3,-0.2,10/17/24,10/20/24,1002,Joe Biden,44,49,0,Live Phone,5
6756687d8259a38e9455aa53,88794,AtlasIntel,2.7,-0.8,10/12/24,10/17/24,4180,Joe Biden,41.4,54.3,4.3,Online Ad,6
6756687d8259a38e9455aa54,89107,Morning Consult,1.9,-0.3,10/11/24,10/17/24,3634,Joe Biden,44,53,3,Online Opt-In Panel,3
6756687d8259a38e9455aa55,88765,Emerson,2.9,-1.1,10/14/24,10/16/24,1000,Joe Biden,41.5,52.6,5.9,IVR/Online Opt-In Panel/Text-to-Web,7
6756687d8259a38e9455aa56,88710,YouGov,3,-1.1,10/12/24,10/15/24,1624,Joe Biden,39,56,5,Online Matched Sample,9
6756687d8259a38e9455aa57,88710,YouGov,3,-1.1,10/12/24,10/15/24,1457,Joe Biden,43,55,2,Online Matched Sample,9
6756687d8259a38e9455aa58,88710,YouGov,3,-1.1,10/12/24,10/15/24,1317,Joe Biden,44,55,1,Online Matched Sample,9
6756687d8259a38e9455aa59,88736,Beacon/Shaw,2.8,-1.1,10/11/24,10/14/24,1110,Joe Biden,40,59,0,Live Phone/Text-to-Web,9
6756687d8259a38e9455aa5a,88736,Beacon/Shaw,2.8,-1.1,10/11/24,10/14/24,870,Joe Biden,41,58,0,Live Phone/Text-to-Web,9
6756687d8259a38e9455aa5b,88816,AP-NORC,2,0.2,10/11/24,10/14/24,1072,Joe Biden,43,57,0,Probability Panel,8
6756687d8259a38e9455aa5c,88816,AP-NORC,2,0.2,10/11/24,10/14/24,957,Joe Biden,42,58,0,Probability Panel,8
6756687d8259a38e9455aa5d,88676,HarrisX/Harris Poll,1.5,-0.1,10/11/24,10/13/24,3145,Joe Biden,42,55,3,Online Opt-In Panel,7
6756687d8259a38e9455aa5e,88699,Morning Consult,1.9,-0.3,10/11/24,10/13/24,2193,Joe Biden,47,52,1,Online Opt-In Panel,3
6756687d8259a38e9455aa5f,88703,Ipsos,2.8,-0.9,10/11/24,10/13/24,938,Joe Biden,36,57,0,Probability Panel,9.5
6756687d8259a38e9455aa60,88720,Gallup,2.5,-0.4,10/1/24,10/12/24,1023,Joe Biden,39,56,5,Live Phone,10
6756687d8259a38e9455aa61,88759,HarrisX,1.5,-0.1,10/9/24,10/11/24,2010,Joe Biden,40,56,4,Online Opt-In Panel,6
6756687d8259a38e9455aa62,88759,HarrisX,1.5,-0.1,10/9/24,10/11/24,1692,Joe Biden,41,58,2,Online Opt-In Panel,6
6756687d8259a38e9455aa63,88759,HarrisX,1.5,-0.1,10/9/24,10/11/24,1622,Joe Biden,41,58,1,Online Opt-In Panel,6
6756687d8259a38e9455aa64,88711,Marist,2.9,-0.9,10/8/24,10/10/24,2021,Joe Biden,40,53,7,Online Opt-In Panel/Text-to-Web,9
6756687d8259a38e9455aa65,88711,Marist,2.9,-0.9,10/8/24,10/10/24,1708,Joe Biden,43,52,5,Online Opt-In Panel/Text-to-Web,9
6756687d8259a38e9455aa66,88711,Marist,2.9,-0.9,10/8/24,10/10/24,1401,Joe Biden,47,52,2,Online Opt-In Panel/Text-to-Web,9
6756687d8259a38e9455aa67,88712,Marquette Law School,3,-1.1,10/1/24,10/10/24,780,Joe Biden,39,61,0,Probability Panel,10
6756687d8259a38e9455aa68,88712,Marquette Law School,3,-1.1,10/1/24,10/10/24,652,Joe Biden,40,60,0,Probability Panel,10
6756687d8259a38e9455aa69,88666,Hart/POS,2.6,-0.7,10/4/24,10/8/24,1000,Joe Biden,43,54,3,Live Phone,4
6756687d8259a38e9455aa6a,88590,YouGov,3,-1.1,10/6/24,10/7/24,1604,Joe Biden,39,53,8,Online Matched Sample,9
6756687d8259a38e9455aa6b,88590,YouGov,3,-1.1,10/6/24,10/7/24,1414,Joe Biden,43,54,2,Online Matched Sample,9
6756687d8259a38e9455aa6c,88590,YouGov,3,-1.1,10/6/24,10/7/24,1235,Joe Biden,45,54,2,Online Matched Sample,9
6756687d8259a38e9455aa6d,88928,Navigator,1.3,0.3,10/3/24,10/7/24,1000,Joe Biden,39,58,3,Online Opt-In Panel,4.5
6756687d8259a38e9455aa6e,88561,Redfield & Wilton Strategies,1.8,0.4,10/6/24,10/6/24,2300,Joe Biden,41,46,12,Online Opt-In Panel,9
6756687d8259a38e9455aa6f,88528,Research Co.,2.4,-0.5,10/4/24,10/6/24,1001,Joe Biden,44,53,3,Online Opt-In Panel,6
6756687d8259a38e9455aa70,88562,Morning Consult,1.9,-0.3,10/4/24,10/6/24,2122,Joe Biden,47,52,1,Online Opt-In Panel,3
6756687d8259a38e9455aa71,88634,Pew,2.5,-0.4,9/30/24,10/6/24,5110,Joe Biden,35,63,2,Probability Panel,8
6756687d8259a38e9455aa72,88527,YouGov,3,-1.1,10/2/24,10/4/24,1711,Joe Biden,37,59,5,Online Matched Sample,9
6756687d8259a38e9455aa73,88527,YouGov,3,-1.1,10/2/24,10/4/24,1150,Joe Biden,40,58,1,Online Matched Sample,9
6756687d8259a38e9455aa74,88527,YouGov,3,-1.1,10/2/24,10/4/24,1032,Joe Biden,47,58,1,Online Matched Sample,9
6756687d8259a38e9455aa75,88539,Big Village,1.2,1.7,10/2/24,10/4/24,1013,Joe Biden,37.5,53.7,8.8,Online Opt-In Panel,9
6756687d8259a38e9455aa76,88539,Big Village,1.2,1.7,10/2/24,10/4/24,841,Joe Biden,41.4,55.3,3.3,Online Opt-In Panel,9
6756687d8259a38e9455aa77,88539,Big Village,1.2,1.7,10/2/24,10/4/24,755,Joe Biden,41.9,56.3,1.8,Online Opt-In Panel,9
6756687d8259a38e9455aa78,88622,Noble Predictive Insights,2.4,-0.4,10/2/24,10/4/24,2290,Joe Biden,46,53,1,Online Opt-In Panel,6
6756687d8259a38e9455aa79,88622,Noble Predictive Insights,2.4,-0.4,10/2/24,10/4/24,2560,Joe Biden,43,54,3,Online Opt-In Panel,6
6756687d8259a38e9455aa7a,88482,YouGov,3,-1.1,9/29/24,10/1/24,1638,Joe Biden,41,53,6,Online Matched Sample,9
6756687d8259a38e9455aa7b,88482,YouGov,3,-1.1,9/29/24,10/1/24,1463,Joe Biden,44,54,2,Online Matched Sample,9
6756687d8259a38e9455aa7c,88482,YouGov,3,-1.1,9/29/24,10/1/24,1266,Joe Biden,45,54,1,Online Matched Sample,9
6756687d8259a38e9455aa7d,88496,Emerson,2.9,-1.1,9/29/24,10/1/24,1000,Joe Biden,39.9,54.7,5.4,IVR/Online Opt-In Panel/Text-to-Web,7
6756687d8259a38e9455aa7e,88506,Marist,2.9,-0.9,9/27/24,10/1/24,1628,Joe Biden,42,52,6,Live Phone/Online Opt-In Panel/Text-to-Web,9
6756687d8259a38e9455aa7f,88506,Marist,2.9,-0.9,9/27/24,10/1/24,1514,Joe Biden,43,52,5,Live Phone/Online Opt-In Panel/Text-to-Web,9
6756687d8259a38e9455aa80,88506,Marist,2.9,-0.9,9/27/24,10/1/24,1294,Joe Biden,44,53,3,Live Phone/Online Opt-In Panel/Text-to-Web,9
6756687d8259a38e9455aa81,88495,Morning Consult,1.9,-0.3,9/25/24,10/1/24,45000,Joe Biden,37.9,54.9,7.2,Online Opt-In Panel,3
6756687d8259a38e9455aa82,88517,Redfield & Wilton Strategies,1.8,0.4,9/28/24,9/29/24,2000,Joe Biden,41,43,16,Online Opt-In Panel,9
6756687d8259a38e9455aa83,88429,Morning Consult,1.9,-0.3,9/27/24,9/29/24,2121,Joe Biden,45,53,2,Online Opt-In Panel,3
6756687d8259a38e9455aa84,88398,Redfield & Wilton Strategies,1.8,0.4,9/25/24,9/26/24,2500,Joe Biden,43,41,16,Online Opt-In Panel,9
6756687d8259a38e9455aa85,88374,Echelon Insights,2.7,-0.8,9/23/24,9/25/24,1005,Joe Biden,43,55,2,Online Opt-In Panel,9
6756687d8259a38e9455aa86,88375,Big Village,1.2,1.7,9/23/24,9/25/24,2021,Joe Biden,43.5,49.8,6.7,Online Opt-In Panel,9
6756687d8259a38e9455aa87,88375,Big Village,1.2,1.7,9/23/24,9/25/24,1663,Joe Biden,45.5,50.8,3.6,Online Opt-In Panel,9
6756687d8259a38e9455aa88,88375,Big Village,1.2,1.7,9/23/24,9/25/24,1524,Joe Biden,46,51.5,2.4,Online Opt-In Panel,9
6756687d8259a38e9455aa89,88351,YouGov,3,-1.1,9/21/24,9/24/24,1622,Joe Biden,39,56,6,Online Matched Sample,9
6756687d8259a38e9455aa8a,88351,YouGov,3,-1.1,9/21/24,9/24/24,1236,Joe Biden,43,55,2,Online Matched Sample,9
6756687d8259a38e9455aa8b,88351,YouGov,3,-1.1,9/21/24,9/24/24,1424,Joe Biden,42,56,2,Online Matched Sample,9
6756687d8259a38e9455aa8c,88399,Clarity,1.6,-0.2,9/19/24,9/24/24,1000,Joe Biden,40,54,6,Online Opt-In Panel,1
6756687d8259a38e9455aa8d,88929,HarrisX,1.5,-0.1,9/20/24,9/23/24,1011,Joe Biden,39,57,4,Online Opt-In Panel,6
6756687d8259a38e9455aa8e,88299,Morning Consult,1.9,-0.3,9/20/24,9/22/24,2163,Joe Biden,48,51,1,Online Opt-In Panel,3
6756687d8259a38e9455aa8f,88358,Ipsos,2.8,-0.9,9/20/24,9/22/24,1029,Joe Biden,39,54,0,Probability Panel,9.5
6756687d8259a38e9455aa90,88328,Quinnipiac,2.8,-0.5,9/19/24,9/22/24,1728,Joe Biden,42,55,3,Live Phone,9
6756687d8259a38e9455aa91,88287,ARG,2.3,-0.2,9/17/24,9/20/24,1100,Joe Biden,44,49,7,Live Phone,5
6756687d8259a38e9455aa92,88287,ARG,2.3,-0.2,9/17/24,9/20/24,1000,Joe Biden,45,48,0,Live Phone,5
6756687d8259a38e9455aa93,88208,YouGov,3,-1.1,9/15/24,9/17/24,1592,Joe Biden,40,52,8,Online Matched Sample,9
6756687d8259a38e9455aa94,88208,YouGov,3,-1.1,9/15/24,9/17/24,1445,Joe Biden,44,54,2,Online Matched Sample,9
6756687d8259a38e9455aa95,88271,Hart/POS,2.6,-0.7,9/13/24,9/17/24,1000,Joe Biden,44,54,2,Live Phone,4
6756687d8259a38e9455aa96,88224,HarrisX,1.5,-0.1,9/14/24,9/16/24,1505,Joe Biden,41,56,3,Online Opt-In Panel,6
6756687d8259a38e9455aa97,88224,HarrisX,1.5,-0.1,9/14/24,9/16/24,1306,Joe Biden,43,56,2,Online Opt-In Panel,6
6756687d8259a38e9455aa98,88224,HarrisX,1.5,-0.1,9/14/24,9/16/24,1247,Joe Biden,43,56,1,Online Opt-In Panel,6
6756687d8259a38e9455aa99,88183,Morning Consult,1.9,-0.3,9/13/24,9/16/24,2037,Joe Biden,46,53,1,Online Opt-In Panel,3
6756687d8259a38e9455aa9a,88223,Beacon/Shaw,2.8,-1.1,9/13/24,9/16/24,1102,Joe Biden,42,58,0,Live Phone/Text-to-Web,9
6756687d8259a38e9455aa9b,88223,Beacon/Shaw,2.8,-1.1,9/13/24,9/16/24,876,Joe Biden,42,58,0,Live Phone/Text-to-Web,9
6756687d8259a38e9455aa9c,88182,Big Village,1.2,1.7,9/11/24,9/15/24,2027,Joe Biden,38.9,52.6,8.5,Online Opt-In Panel,9
6756687d8259a38e9455aa9d,88182,Big Village,1.2,1.7,9/11/24,9/15/24,1724,Joe Biden,40.4,55,4.6,Online Opt-In Panel,9
6756687d8259a38e9455aa9e,88182,Big Village,1.2,1.7,9/11/24,9/15/24,1568,Joe Biden,43.3,54.2,2.5,Online Opt-In Panel,9
6756687d8259a38e9455aa9f,88205,Gallup,2.5,-0.4,9/3/24,9/15/24,1007,Joe Biden,39,58,3,Live Phone,10
6756687d8259a38e9455aaa0,88170,YouGov,3,-1.1,9/11/24,9/13/24,1755,Joe Biden,38,57,5,Online Matched Sample,9
6756687d8259a38e9455aaa1,88170,YouGov,3,-1.1,9/11/24,9/13/24,1176,Joe Biden,42,56,2,Online Matched Sample,9
6756687d8259a38e9455aaa2,88170,YouGov,3,-1.1,9/11/24,9/13/24,1089,Joe Biden,43,55,1,Online Matched Sample,9
6756687d8259a38e9455aaa3,88200,HarrisX,1.5,-0.1,9/11/24,9/13/24,3018,Joe Biden,42,54,4,Online Opt-In Panel,6
6756687d8259a38e9455aaa4,88157,Redfield & Wilton Strategies,1.8,0.4,9/12/24,9/12/24,2500,Joe Biden,41,44,15,Online Opt-In Panel,9
6756687d8259a38e9455aaa5,88174,AtlasIntel,2.7,-0.8,9/11/24,9/12/24,1775,Joe Biden,37.6,55.5,6.9,,6
6756687d8259a38e9455aaa6,88176,Global Strategy Group/North Star Opinion Research,,,9/11/24,9/12/24,1002,Joe Biden,40,58,2,Online Opt-In Panel,3.5
6756687d8259a38e9455aaa7,88130,YouGov,3,-1.1,9/8/24,9/10/24,1626,Joe Biden,39,57,4,Online Matched Sample,9
6756687d8259a38e9455aaa8,88130,YouGov,3,-1.1,9/8/24,9/10/24,1464,Joe Biden,41,57,2,Online Matched Sample,9
6756687d8259a38e9455aaa9,88084,Big Village,1.2,1.7,9/6/24,9/8/24,2028,Joe Biden,39.5,53.7,6.8,Online Opt-In Panel,9
6756687d8259a38e9455aaaa,88084,Big Village,1.2,1.7,9/6/24,9/8/24,1722,Joe Biden,42.9,52.8,4.3,Online Opt-In Panel,9
6756687d8259a38e9455aaab,88084,Big Village,1.2,1.7,9/6/24,9/8/24,1546,Joe Biden,44.6,52.6,2.8,Online Opt-In Panel,9
6756687d8259a38e9455aaac,88112,Morning Consult,1.9,-0.3,9/6/24,9/8/24,2015,Joe Biden,44,55,2,Online Opt-In Panel,3
6756687d8259a38e9455aaad,88073,Siena/NYT,3,-1.5,9/3/24,9/6/24,1374,Joe Biden,40,57,3,Live Phone,9
6756687d8259a38e9455aaae,88073,Siena/NYT,3,-1.5,9/3/24,9/6/24,1374,Joe Biden,37,59,4,Live Phone,9
6756687d8259a38e9455aaaf,88075,HarrisX/Harris Poll,1.5,-0.1,9/4/24,9/5/24,2358,Joe Biden,42,56,3,Online Opt-In Panel,7
6756687d8259a38e9455aab0,88103,Marist,2.9,-0.9,9/3/24,9/5/24,1529,Joe Biden,43,51,6,Live Phone/Online Opt-In Panel/Text,7
6756687d8259a38e9455aab1,88103,Marist,2.9,-0.9,9/3/24,9/5/24,1413,Joe Biden,44,52,4,Live Phone/Online Opt-In Panel/Text,7
6756687d8259a38e9455aab2,88035,Emerson,2.9,-1.1,9/3/24,9/4/24,1000,Joe Biden,41.3,52.5,6.2,IVR/Online Opt-In Panel/Text-to-Web,7
6756687d8259a38e9455aab3,88104,SurveyMonkey,2,0.2,8/26/24,9/4/24,20762,Joe Biden,41,56,3,Online Opt-In Panel,9
6756687d8259a38e9455aab4,88104,SurveyMonkey,2,0.2,8/26/24,9/4/24,18123,Joe Biden,43,56,1,Online Opt-In Panel,9
6756687d8259a38e9455aab5,88021,YouGov,3,-1.1,9/1/24,9/3/24,1544,Joe Biden,39,54,6,Online Matched Sample,9
6756687d8259a38e9455aab6,88021,YouGov,3,-1.1,9/1/24,9/3/24,1389,Joe Biden,43,55,2,Online Matched Sample,9
6756687d8259a38e9455aab7,88029,Morning Consult,1.9,-0.3,8/28/24,9/3/24,45000,Joe Biden,39,55,6,Online Opt-In Panel,3
6756687d8259a38e9455aab8,88400,Echelon Insights/GBAO,,,8/27/24,9/2/24,2045,Joe Biden,43,56,1,Online Opt-In Panel,9
6756687d8259a38e9455aab9,88030,McLaughlin,0.5,1.6,8/29/24,9/1/24,2000,Joe Biden,42.8,57.2,0,Online Opt-In Panel,4
6756687d8259a38e9455aaba,88030,McLaughlin,0.5,1.6,8/29/24,9/1/24,1778,Joe Biden,43.9,56.1,0,Online Opt-In Panel,4
6756687d8259a38e9455aabb,88005,ActiVote,,,8/1/24,8/31/24,7325,Joe Biden,44,49,7,App Panel,8
6756687d8259a38e9455aabc,88025,TIPP,1.8,-0.4,8/28/24,8/30/24,1582,Joe Biden,37,53,9,Online Opt-In Panel,3
6756687d8259a38e9455aabd,88004,Redfield & Wilton Strategies,1.8,0.4,8/29/24,8/29/24,2500,Joe Biden,43,44,13,Online Opt-In Panel,9
6756687d8259a38e9455aabe,87945,Suffolk,2.9,-1,8/25/24,8/28/24,1000,Joe Biden,47.9,48.8,3.3,Live Phone,8
